state,county,per_100000_population,gender,race,location,latitude_longitude
ak,northwest arctic,291.5,female,american indian and alaskan native,2188,67065111 159726506
ak,southeast fairbanks,225.4,female,american indian and alaskan native,2240,63867414 14322069
ak,valdezcordova,285.9,female,american indian and alaskan native,2261,61536161 144339956
ak,wade hampton,299.0,female,american indian and alaskan native,2270,62159714 163349484
ak,yukonkoyukuk,267.2,female,american indian and alaskan native,2290,6550404 15141038
al,autauga county,425.0,overall,overall,1001,32540743 86642658
al,baldwin county,383.5,overall,overall,1003,3074338 87725037
al,barbour county,493.8,overall,overall,1005,31875526 85392733
al,bibb county,433.8,overall,overall,1007,32999586 87128286
al,bullock county,433.1,overall,overall,1011,32105445 85716374
al,butler county,467.0,overall,overall,1013,31756743 86685543
al,calhoun county,586.1,overall,overall,1015,33776116 85827265
al,chambers county,389.4,overall,overall,1017,32918605 85389755
al,cherokee county,490.8,overall,overall,1019,34175592 8560109
al,chilton county,537.9,overall,overall,1021,3285542 86717847
al,choctaw county,538.8,overall,overall,1023,32023039 88263625
al,clarke county,453.5,overall,overall,1025,31685276 87828202
al,clay county,549.7,overall,overall,1027,33275512 85861243
al,cleburne county,546.9,overall,overall,1029,33676437 85521058
al,coffee county,413.1,overall,overall,1031,31408678 85987616
al,colbert county,542.3,overall,overall,1033,34700954 87805794
al,conecuh county,478.5,overall,overall,1035,31436316 86992084
al,coosa county,453.4,overall,overall,1037,32940608 86246358
al,covington county,495.6,overall,overall,1039,31249891 86449316
al,crenshaw county,474.9,overall,overall,1041,31738498 86315231
al,cullman county,435.4,overall,overall,1043,34135642 86864859
al,dale county,433.8,overall,overall,1045,31437921 85612525
al,dallas county,584.0,overall,overall,1047,32331714 87103947
al,dekalb county,545.1,overall,overall,1049,34462067 85803144
al,elmore county,456.5,overall,overall,1051,32599774 86150224
al,escambia county,469.1,overall,overall,1053,31133221 87162551
al,etowah county,551.0,overall,overall,1055,34048713 86037592
al,fayette county,463.4,overall,overall,1057,33726047 87737656
al,franklin county,528.0,overall,overall,1059,34445544 87843784
al,geneva county,445.3,overall,overall,1061,31100302 85833243
al,greene county,488.2,overall,overall,1063,32861522 879517
al,hale county,479.2,overall,overall,1065,32769973 87626815
al,henry county,409.9,overall,overall,1067,31528365 85241061
al,houston county,372.4,overall,overall,1069,31163114 85295081
al,jackson county,515.4,overall,overall,1071,34784419 85993741
al,jefferson county,382.0,overall,overall,1073,33558145 86898116
al,lamar county,478.4,overall,overall,1075,3378226 88094104
al,lauderdale county,391.3,overall,overall,1077,34905347 87644897
al,lawrence county,506.9,overall,overall,1079,34524888 87309085
al,lee county,370.6,overall,overall,1081,32605632 85354778
al,limestone county,449.9,overall,overall,1083,34816826 86981625
al,lowndes county,442.5,overall,overall,1085,32160667 86649084
